model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,_merge
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6,no,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,21.0,26.0,23.0,7,yes,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,18.0,24.0,21.0,6,yes,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,19.0,24.0,21.0,6,yes,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,7.0,20.0,25.0,22.0,6,yes,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,18.0,24.0,21.0,6,no,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,19.0,24.0,21.0,6,no,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,6.0,20.0,25.0,22.0,6,no,,,,,,,,,,,,,,left_only
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,6.0,21.0,26.0,23.0,7,yes,,,,,,,,,,,,,,left_only
CHRYSLER Pacifica,3.8,6,Auto-L4,2WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5,no,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3.0,18.0,28.0,22.0,4.0,No,both
CHRYSLER Pacifica,3.8,6,Auto-L4,2WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5,no,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3.0,19.0,28.0,22.0,4.0,No,both
CHRYSLER Pacifica,4.0,6,Auto-L6,2WD,Gasoline,SUV,7.0,15.0,23.0,17.0,4,no,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3.0,18.0,28.0,22.0,4.0,No,both
CHRYSLER Pacifica,4.0,6,Auto-L6,2WD,Gasoline,SUV,7.0,15.0,23.0,17.0,4,no,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3.0,19.0,28.0,22.0,4.0,No,both
CHRYSLER Pacifica,4.0,6,Auto-L6,4WD,Gasoline,SUV,7.0,14.0,22.0,17.0,4,no,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3.0,18.0,28.0,22.0,4.0,No,both
CHRYSLER Pacifica,4.0,6,Auto-L6,4WD,Gasoline,SUV,7.0,14.0,22.0,17.0,4,no,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3.0,19.0,28.0,22.0,4.0,No,both
CHRYSLER SRT-8,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,,,,,,,,,,,,,,left_only
CHRYSLER SRT-8,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,,,,,,,,,,,,,,left_only
CHRYSLER SRT-8,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,,,,,,,,,,,,,,left_only
CHRYSLER SRT-8,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,,,,,,,,,,,,,,left_only
CHRYSLER Sebring,2.4,4,Auto-L4,2WD,Gasoline,midsize car,7.0,21.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
CHRYSLER Sebring,3.5,6,Auto-L6,4WD,Gasoline,midsize car,7.0,15.0,24.0,18.0,5,no,,,,,,,,,,,,,,left_only
CHRYSLER Sebring,3.5,6,Auto-L6,2WD,Gasoline,midsize car,7.0,16.0,26.0,19.0,5,no,,,,,,,,,,,,,,left_only
CHRYSLER Sebring,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,21.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
CHRYSLER Sebring,2.7,6,Auto-L4,2WD,Gasoline,midsize car,6.0,19.0,27.0,22.0,6,no,,,,,,,,,,,,,,left_only
CHRYSLER Sebring Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,20.0,29.0,23.0,7,yes,,,,,,,,,,,,,,left_only
CHRYSLER Sebring Convertible,3.5,6,Auto-L6,2WD,Gasoline,small car,7.0,16.0,26.0,19.0,5,no,,,,,,,,,,,,,,left_only
CHRYSLER Sebring Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,20.0,29.0,23.0,7,yes,,,,,,,,,,,,,,left_only
CHRYSLER Sebring Convertible,2.7,6,Auto-L4,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6,no,,,,,,,,,,,,,,left_only
CHRYSLER Town & Country,3.3,6,Auto-L4,2WD,Gasoline,minivan,7.0,17.0,24.0,19.0,5,no,,,,,,,,,,,,,,left_only
CHRYSLER Town & Country,3.8,6,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,,,,,,,,,,,,,,left_only
CHRYSLER Town & Country,4.0,6,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Avenger,2.4,4,Auto-L4,2WD,Gasoline,midsize car,7.0,21.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
DODGE Avenger,3.5,6,Auto-L6,4WD,Gasoline,midsize car,7.0,15.0,24.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Avenger,3.5,6,Auto-L6,2WD,Gasoline,midsize car,7.0,16.0,26.0,19.0,5,no,,,,,,,,,,,,,,left_only
DODGE Avenger,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,21.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
DODGE Avenger,2.7,6,Auto-L4,2WD,Gasoline,midsize car,6.0,19.0,27.0,22.0,6,no,,,,,,,,,,,,,,left_only
DODGE Caliber,2.4,4,Auto-AV,4WD,Gasoline,midsize car,7.0,21.0,24.0,22.0,6,yes,,,,,,,,,,,,,,left_only
DODGE Caliber,2.4,4,Auto-AV,2WD,Gasoline,midsize car,7.0,21.0,25.0,23.0,7,yes,,,,,,,,,,,,,,left_only
DODGE Caliber,2.0,4,Auto-AV,2WD,Gasoline,midsize car,6.0,23.0,27.0,24.0,7,yes,,,,,,,,,,,,,,left_only
DODGE Caliber,2.4,4,Auto-AV,2WD,Gasoline,midsize car,6.0,21.0,25.0,23.0,7,yes,,,,,,,,,,,,,,left_only
DODGE Caravan,3.3,6,Auto-L4,2WD,Gasoline,minivan,7.0,17.0,24.0,19.0,5,no,,,,,,,,,,,,,,left_only
DODGE Caravan,3.8,6,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Caravan,4.0,6,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Challenger,6.1,8,Auto-L5,2WD,Gasoline,midsize car,6.0,13.0,18.0,15.0,3,no,DODGE Challenger,3.6,6.0,Auto-8,2WD,Gasoline,midsize car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Challenger,6.1,8,Auto-L5,2WD,Gasoline,midsize car,6.0,13.0,18.0,15.0,3,no,DODGE Challenger,5.7,8.0,Auto-8,2WD,Gasoline,midsize car,3.0,16.0,25.0,19.0,3.0,No,both
DODGE Challenger,6.1,8,Auto-L5,2WD,Gasoline,midsize car,6.0,13.0,18.0,15.0,3,no,DODGE Challenger,5.7,8.0,Man-6,2WD,Gasoline,midsize car,1.0,15.0,23.0,18.0,3.0,No,both
DODGE Challenger,6.1,8,Auto-L5,2WD,Gasoline,midsize car,6.0,13.0,18.0,15.0,3,no,DODGE Challenger,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,1.0,15.0,25.0,18.0,3.0,No,both
DODGE Challenger,6.1,8,Auto-L5,2WD,Gasoline,midsize car,6.0,13.0,18.0,15.0,3,no,DODGE Challenger,6.4,8.0,Man-6,2WD,Gasoline,midsize car,1.0,14.0,23.0,17.0,3.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3.0,16.0,25.0,19.0,3.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1.0,15.0,25.0,18.0,3.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3.0,16.0,25.0,19.0,3.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1.0,15.0,25.0,18.0,3.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3.0,16.0,25.0,19.0,3.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1.0,15.0,25.0,18.0,3.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3.0,16.0,25.0,19.0,3.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1.0,15.0,25.0,18.0,3.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3.0,16.0,25.0,19.0,3.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1.0,15.0,25.0,18.0,3.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No,both
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No,both
DODGE Dakota,3.7,6,Auto-L4,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,,,,,,,,,,,,,,left_only
DODGE Dakota,3.7,6,Auto-L4,4WD,Gasoline,pickup,7.0,14.0,18.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE Dakota,4.7,8,Auto-L5,2WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE Dakota,4.7,8,Auto-L5,4WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE Dakota,3.7,6,Auto-L4,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4,no,,,,,,,,,,,,,,left_only
DODGE Dakota,3.7,6,Man-6,2WD,Gasoline,pickup,6.0,16.0,20.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Dakota,3.7,6,Auto-L4,4WD,Gasoline,pickup,6.0,14.0,18.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE Dakota,3.7,6,Man-6,4WD,Gasoline,pickup,6.0,15.0,19.0,16.0,4,no,,,,,,,,,,,,,,left_only
DODGE Durango,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,14.0,19.0,16.0,4,no,DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,5.0,19.0,26.0,21.0,4.0,No,both
DODGE Durango,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,14.0,19.0,16.0,4,no,DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4.0,No,both
DODGE Durango,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,14.0,19.0,16.0,4,no,DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,14.0,19.0,16.0,4,no,DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,4.7,8,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,5.0,19.0,26.0,21.0,4.0,No,both
DODGE Durango,4.7,8,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4.0,No,both
DODGE Durango,4.7,8,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,4.7,8,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,4.7,8,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,17.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,5.0,19.0,26.0,21.0,4.0,No,both
DODGE Durango,4.7,8,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,17.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4.0,No,both
DODGE Durango,4.7,8,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,17.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,4.7,8,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,17.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,5.0,19.0,26.0,21.0,4.0,No,both
DODGE Durango,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4.0,No,both
DODGE Durango,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,5.0,19.0,26.0,21.0,4.0,No,both
DODGE Durango,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4.0,No,both
DODGE Durango,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Durango,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
DODGE Magnum,3.5,6,Auto-L5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6,yes,,,,,,,,,,,,,,left_only
DODGE Magnum,3.5,6,Auto-L4,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6,yes,,,,,,,,,,,,,,left_only
DODGE Magnum,3.5,6,Auto-L5,4WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Magnum,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,26.0,21.0,6,no,,,,,,,,,,,,,,left_only
DODGE Magnum,6.1,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE Nitro,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Nitro,3.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,,,,,,,,,,,,,,left_only
DODGE Nitro,3.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Nitro,3.7,6,Man-6,2WD,Gasoline,SUV,6.0,16.0,22.0,19.0,5,no,,,,,,,,,,,,,,left_only
DODGE Nitro,3.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,,,,,,,,,,,,,,left_only
DODGE Nitro,3.7,6,Man-6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE Nitro,4.0,6,Auto-L5,2WD,Gasoline,SUV,6.0,16.0,21.0,18.0,5,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,3.7,6,Auto-L4,2WD,Gasoline,pickup,7.0,14.0,19.0,16.0,4,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,4.7,8,Auto-L5,2WD,Gasoline,pickup,7.0,13.0,18.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,4.7,8,Auto-L5,4WD,Gasoline,pickup,7.0,13.0,17.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,3.7,6,Auto-L4,2WD,Gasoline,pickup,6.0,14.0,19.0,16.0,4,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,3.7,6,Man-6,2WD,Gasoline,pickup,6.0,16.0,19.0,17.0,4,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,4.7,8,Man-6,2WD,Gasoline,pickup,6.0,13.0,17.0,14.0,2,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,4.7,8,Man-6,4WD,Gasoline,pickup,6.0,12.0,16.0,14.0,2,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,5.7,8,Auto-L5,2WD,Gasoline,pickup,6.0,13.0,19.0,15.0,3,no,,,,,,,,,,,,,,left_only
DODGE RAM 1500,5.7,8,Auto-L5,4WD,Gasoline,pickup,6.0,13.0,17.0,14.0,2,no,,,,,,,,,,,,,,left_only
DODGE Viper,8.4,10,Man-6,2WD,Gasoline,small car,6.0,13.0,22.0,16.0,4,no,,,,,,,,,,,,,,left_only
DODGE Viper Convertible,8.4,10,Man-6,2WD,Gasoline,small car,6.0,13.0,22.0,16.0,4,no,,,,,,,,,,,,,,left_only
FERRARI 599 GTB Fiorano,5.9,12,Auto-6,2WD,Gasoline,small car,6.0,11.0,15.0,12.0,0,no,,,,,,,,,,,,,,left_only
FERRARI 599 GTB Fiorano,5.9,12,Man-6,2WD,Gasoline,small car,6.0,11.0,15.0,12.0,0,no,,,,,,,,,,,,,,left_only
FERRARI 612 Scaglietti,5.7,12,Auto-6,2WD,Gasoline,midsize car,6.0,9.0,16.0,11.0,0,no,,,,,,,,,,,,,,left_only
FERRARI 612 Scaglietti,5.7,12,Man-6,2WD,Gasoline,midsize car,6.0,10.0,15.0,12.0,0,no,,,,,,,,,,,,,,left_only
FORD Edge,3.5,6,Auto-L6,2WD,Gasoline,SUV,7.0,16.0,24.0,19.0,5,no,,,,,,,,,,,,,,left_only
FORD Edge,3.5,6,Auto-L6,4WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
